tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units,last_plan_tick,last_plan_passed,last_plan_projected_end_cash,last_plan_total_cost,last_plan_buffer
1691,87,3,negative_cash,-0.2105645716446931,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1686,0,-57.210564571644696,57.0,14.25
1698,69,6,negative_cash,-2.6048661421914527,38.77606708411328,10.0,1.0,2.0,0.6,28.0,-2.823932915886722,1,8,1,1,1685,1,257.4320785991437,505.90792985413793,150.07126322947755
1704,102,5,negative_cash,-28.270226400576504,0.0,19.01549345522524,1.0,0.5,0.6,63.47528599780599,-84.59077945303123,2,2,1,1,1666,1,3322.2895722684007,0.0,0.0
1707,80,6,negative_cash,-27.616855799976918,211.23459177148945,129.31244220069843,2.0,2.25,3.0,119.0,-44.32785042920898,13,9,5,2,1693,1,134.1923703286077,3408.1377329028574,871.0932504347236
1731,90,2,negative_cash,-6.726481547907579,5.204029246664724,10.0,6.0,0.5,0.6,0.0,-11.895970753335275,1,2,1,6,1723,1,15.019160375438304,142.0,35.5
1732,85,3,negative_cash,-2.5621773502338345,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1729,0,-65.26217735023383,57.0,14.25
1751,108,5,negative_cash,-74.79305651038493,0.0,21.440604083699686,1.0,0.5,0.6,51.66815343676729,-75.20875752046697,2,2,1,1,1710,1,3001.8565759408,0.0,0.0
1752,97,1,negative_cash,-2.5579706011026637,0.0,10.0,2.0,0.5,0.6,0.0,-13.1,1,2,1,2,1734,1,168.70804064490486,62.0,19.404987275246192
1755,98,1,negative_cash,-0.06934948864799129,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1747,0,-84.89300325513834,77.0,30.623653766490346
1764,91,2,negative_cash,-0.2902509768360626,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,1745,0,-26.39025097683605,57.0,14.25
1770,96,1,negative_cash,-2.0259459835263347,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,1769,0,-119.42594598352633,97.0,24.25
1775,99,1,negative_cash,-1.3651163611057462,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,1757,0,-81.06242389408644,77.0,41.99730753298069
1781,94,1,negative_cash,-8.21700332657502,4.79603335372621,10.0,4.0,0.5,0.6,0.0,-10.30396664627379,1,2,1,4,1775,1,21.91375200239588,102.0,25.5
1792,111,5,negative_cash,-16.8977064550011,0.0,21.146069186328678,1.0,0.5,0.6,55.416219459346294,-78.66228864567498,2,2,1,1,1752,1,3247.1308687163278,0.0,0.0
1803,83,4,negative_cash,-2.825376866292906,0.0,0.0,4.0,0.25,0.6,0.0,-4.85,0,1,1,4,1796,0,-137.1253768662929,137.0,34.25
1811,101,3,negative_cash,-0.7651073632157074,0.0,0.0,0.0,0.25,0.6,0.0,-0.85,0,1,1,0,1805,0,-41.91510736321571,37.0,9.25
1831,107,3,negative_cash,-0.6975222206781426,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1818,0,-34.897522220678134,57.0,14.25
